Date,Value
2015-01-06,112.2582
2015-01-05,112.4825
2015-01-02,111.8409
2015-01-01,111.1986
2014-12-31,111.2766
2014-12-30,111.0036
2014-12-29,111.3299
2014-12-26,111.1749
2014-12-24,111.1898
2014-12-23,111.2568
2014-12-22,110.9087
2014-12-19,111.0141
2014-12-18,110.7454
2014-12-17,110.511
2014-12-16,110.5547
2014-12-15,110.6752
2014-12-12,110.3087
2014-12-11,110.3414
2014-12-10,109.8901
2014-12-09,109.6869
2014-12-08,110.1698
2014-12-05,109.9212
2014-12-04,109.2371
2014-12-03,109.3944
2014-12-02,109.2679
2014-12-01,108.6889
2014-11-28,108.792
2014-11-26,107.8798
2014-11-25,107.9473
2014-11-24,108.077
2014-11-21,107.9372
2014-11-20,107.9037
2014-11-19,107.8857
2014-11-18,107.6457
2014-11-17,107.8593
2014-11-14,107.7483
2014-11-13,107.7285
2014-11-12,107.5179
2014-11-10,107.5362
2014-11-07,107.6473
2014-11-06,107.7351
2014-11-05,107.4078
2014-11-04,107.1183
2014-11-03,107.1002
2014-10-31,106.6606
2014-10-30,105.9634
2014-10-29,105.5414
2014-10-28,105.7422
2014-10-27,106.0561
2014-10-24,105.9913
2014-10-23,106.1087
2014-10-22,105.9534
2014-10-21,105.7405
2014-10-20,105.784
2014-10-17,105.8073
2014-10-16,105.7859
2014-10-15,105.8387
2014-10-14,105.8929
2014-10-10,105.9348
2014-10-09,105.6867
2014-10-08,106.031
2014-10-07,105.9703
2014-10-06,106.0706
2014-10-03,106.4826
2014-10-02,105.8174
2014-10-01,106.0653
2014-09-30,106.0459
2014-09-29,105.8965
2014-09-26,105.7005
2014-09-25,105.3914
2014-09-24,105.1423
2014-09-23,105.0118
2014-09-22,104.977
2014-09-19,104.852
2014-09-18,104.6501
2014-09-17,104.4092
2014-09-16,104.3452
2014-09-15,104.6051
2014-09-12,104.5256
2014-09-11,104.3625
2014-09-10,104.3013
2014-09-09,104.31
2014-09-08,103.8462
2014-09-05,103.6729
2014-09-04,103.7203
2014-09-03,103.3301
2014-09-02,103.5415
2014-08-29,103.1864
2014-08-28,103.1527
2014-08-27,103.1242
2014-08-26,103.3076
2014-08-25,103.3638
2014-08-22,103.2446
2014-08-21,103.1226
2014-08-20,103.0363
2014-08-19,102.867
2014-08-18,102.6903
2014-08-15,102.737
2014-08-14,102.8129
2014-08-13,102.9276
2014-08-12,102.9984
2014-08-11,102.9449
2014-08-08,103.0834
2014-08-07,103.1447
2014-08-06,103.1105
2014-08-05,103.1742
2014-08-04,102.9582
2014-08-01,102.9901
2014-07-31,102.9487
2014-07-30,102.834
2014-07-29,102.5414
2014-07-28,102.3416
2014-07-25,102.3342
2014-07-24,102.2007
2014-07-23,102.1102
2014-07-22,102.1596
2014-07-21,102.1521
2014-07-18,102.212
2014-07-17,102.2072
2014-07-16,102.138
2014-07-15,102.119
2014-07-14,101.9349
2014-07-11,101.9362
2014-07-10,101.83
2014-07-09,101.7409
2014-07-08,101.8434
2014-07-07,101.9126
2014-07-03,101.86
2014-07-02,101.7916
2014-07-01,101.6677
2014-06-30,101.7288
2014-06-27,101.9323
2014-06-26,102.091
2014-06-25,102.1417
2014-06-24,102.2522
