@relation results

@attribute id numeric
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute 'volume (btc)' numeric
@attribute 'volume (currency)' numeric
@attribute 'class label' {positive,negative}

@data
386,12.2,12.7,12.14,12.64,4634.41771,57712.679641,negative
387,12.63,12.99,12.45,12.9,4948.455672,63268.335024,positive
388,12.9,12.9,12.51,12.57,3211.886001,40800.141828,positive
389,12.61,12.7,11.5,12.5,5459.560688,67349.988816,negative
390,12.51,12.6,12.06,12.39,1640.41685,20370.967759,positive
391,12.39,12.45,11.52,11.71,3262.847507,39134.370588,positive
392,11.7,11.99,10.42,11.62,2885.957812,31964.190094,negative
393,11.62,12.26,11.52,11.99,1933.939089,23092.58241,negative
394,11.85,12.25,11.79,12.24,2369.718361,28378.106848,positive
395,12.1,12.13,11.58,12.09,2349.860473,27788.03728,negative
396,11.95,12.1,11.81,11.9,735.716607,8827.925293,positive
397,11.9,12,11.81,11.85,486.615907,5796.152144,positive
398,11.85,11.9,11.79,11.79,336.217647,3981.403016,positive
399,11.78,11.84,11.03,11.66,3425.958007,39335.862222,negative
400,11.8,11.94,11.17,11.92,1004.499677,11660.432114,negative
401,11.79,11.97,11.15,11.88,3020.890537,35317.85113,negative
402,11.9,11.9,11.55,11.8,1277.754257,15057.096359,positive
403,11.75,11.84,11.5,11.67,10149.001528,118964.598288,positive
404,11.65,11.7,11.53,11.6,704.855011,8193.045065,positive
405,11.6,11.68,11.29,11.32,2048.260327,23455.969452,negative
406,11.54,11.57,11.27,11.49,1913.118006,21966.437001,negative
407,11.5,11.7,11.25,11.58,2717.110053,31250.194192,positive
408,11.38,11.62,11.01,11.4,3180.176965,36136.820562,positive
409,11.39,11.39,10.4,10.55,3077.540636,33904.385956,positive
410,10.46,10.84,9.68,10,2384.646512,24712.710008,positive
411,10,10.75,9.5,10.43,1989.477513,19869.37046,negative
412,10.35,10.75,10.3,10.54,972.319286,10231.222605,negative
413,10.67,10.8,10.32,10.8,2655.790811,28198.082938,negative
414,10.8,10.81,10.43,10.8,2780.314698,29649.729177,negative
415,10.79,11,10.66,11,3057.679498,33152.619679,negative
416,11,11.05,10.63,10.85,1726.988321,18852.234927,positive
417,10.85,10.96,10.45,10.67,2477.449542,26465.310039,positive
418,10.54,10.69,10.41,10.66,1572.814661,16586.098497,positive
419,10.67,10.68,10.4,10.64,2010.406233,21126.728552,negative
420,10.63,10.8,10.5,10.78,5531.261206,58624.906185,negative
421,10.78,10.8,10.51,10.74,3348.912811,35648.697813,negative
422,10.68,10.84,10.45,10.8,4027.999483,43035.795325,positive
423,10.65,10.83,10.25,10.81,2930.399499,31006.341598,negative
424,10.69,10.84,10.61,10.8,2342.580384,25223.157674,negative
425,10.8,10.87,10.63,10.81,1074.44382,11581.043443,positive
426,10.82,10.85,10.64,10.82,650.678433,6980.575826,negative
427,10.78,10.92,10.72,10.87,1146.317733,12439.30644,negative
428,10.92,10.99,10.76,10.87,2565.613779,27984.978478,negative
429,10.87,10.98,10.74,10.97,1294.563007,14128.304487,negative
430,10.98,11.05,10.81,11.05,2452.656808,26917.722448,negative
431,11.05,11.6,10.96,11.46,7094.45117,79249.740665,negative
432,11.48,11.65,11.45,11.57,795.350413,9174.525188,positive
433,11.56,11.65,11.32,11.51,1033.460701,11853.509194,positive
434,11.51,11.65,11.03,11.65,4206.617839,47845.298868,negative
435,11.6,11.69,11.44,11.65,2524.495746,29272.399167,positive
436,11.64,11.67,11.34,11.67,3449.380031,39721.623939,negative
437,11.67,12.12,11.55,11.88,10030.597518,118497.332929,negative
438,11.86,12.16,11.66,12.16,2085.939497,25154.966176,negative
439,12.16,12.29,12.06,12.25,1378.948839,16783.733329,negative
