id,open,high,low,close,volume (btc),volume (currency),class label
294,6.55,6.64,6.52,6.61,1792.23613156,11809.4456076,SELL
295,6.61,6.66,6.4,6.44,1936.3905711,12722.2884267,SELL
296,6.44,6.55,6.36,6.44,2014.68873242,13045.0551249,SELL
297,6.52,6.66,6.52,6.6,1406.97193178,9291.89320016,SELL
298,6.59,6.6,6.39,6.59,1662.61510481,10843.3659548,SELL
299,6.6,6.79,6.56,6.79,1408.4798228,9388.15616272,SELL
300,6.8,6.8,6.45,6.73,830.37090436,5483.56073004,SELL
301,6.77,6.99,6.55,6.94,1751.75552753,11902.0087404,SELL
302,6.95,7.13,6.95,7.08,1495.1442887,10504.3988244,SELL
303,7.08,7.15,7.04,7.14,751.66207543,5345.82936476,SELL
304,7.15,7.59,7.1,7.59,2325.83757492,16706.657978,SELL
305,7.6,7.69,7.46,7.59,1204.54573744,9144.07877333,SELL
306,7.58,7.58,7.44,7.55,717.31461971,5408.06723421,SELL
307,7.55,7.57,7.4,7.57,322.39208253,2418.56412993,SELL
308,7.57,8.3,7.14,8.3,3680.08259313,28112.9158546,SELL
309,8.3,8.8,7.7,8.55,3658.89689036,30014.6917675,SELL
310,8.5,9.15,8.36,9.0,2613.84283038,22817.7893547,BUY
311,9.06,9.2,8.76,8.76,2512.84139938,22765.407689,BUY
312,8.76,8.76,7.93,8.44,1378.66512931,11284.5645498,SELL
313,8.52,8.91,8.2,8.74,2380.64465914,20553.4187803,SELL
314,8.74,8.8,8.3,8.42,1483.54734476,12717.964209,SELL
315,8.42,8.88,8.1,8.59,2585.86162064,22225.4671152,SELL
316,8.59,8.8,8.25,8.61,1298.89850451,11148.282028,SELL
317,8.59,8.64,8.24,8.64,1795.45977381,15281.0642027,SELL
318,8.64,8.83,8.45,8.75,837.67858918,7224.82986587,SELL
319,8.76,8.91,8.76,8.83,687.49671529,6094.41586266,SELL
320,8.83,9.0,8.78,8.88,1498.92603223,13347.6257558,SELL
321,8.79,8.79,8.7,8.71,590.37066164,5154.7223923,SELL
322,8.7,9.0,8.54,9.0,2423.61350598,21078.3534748,SELL
323,9.0,9.28,8.92,9.28,1324.42575089,12141.4760515,SELL
324,9.28,9.5,8.9,9.45,2419.60607326,22568.9511518,SELL
325,9.45,10.52,9.4,10.44,2209.70926083,21163.1874101,SELL
326,10.4,12.0,10.1,10.79,2419.4134313,26081.2938281,SELL
327,10.96,11.2,10.5,10.51,635.36838136,6829.38734095,SELL
328,10.93,10.93,10.29,10.71,1906.7619071,19934.3392382,SELL
329,10.71,10.99,10.43,10.84,2070.07812125,22226.7457827,SELL
330,10.86,10.87,10.72,10.75,1039.03555,11186.1862178,SELL
331,10.75,11.04,10.7,10.99,2746.09461909,29919.4466272,SELL
332,11.0,12.49,10.79,11.0,2432.99473283,27273.43404,SELL
333,11.0,11.5,10.9,11.32,2554.43905578,28345.9441089,SELL
334,11.32,11.4,11.25,11.38,358.81692698,4060.03618333,SELL
335,11.4,11.69,11.34,11.49,838.43263007,9613.44910543,BUY
336,11.42,11.98,11.4,11.89,3499.58597117,40698.515925,BUY
337,11.9,12.3,11.81,12.25,1925.97314893,23207.3913949,BUY
338,12.13,13.2,12.13,13.01,1592.26779358,19913.7784825,BUY
339,13.14,13.5,12.75,13.42,1529.32907411,20345.7007104,BUY
340,13.49,16.41,11.5,12.5,4868.27886465,69361.3068559,BUY
341,12.64,12.99,11.11,11.54,2511.36721759,29197.8722141,BUY
342,11.86,11.86,7.1,8.06,5427.25152631,48723.0005227,SELL
343,8.09,10.33,7.86,10.05,3382.49965273,30656.236089,SELL
344,9.79,10.51,9.53,10.18,3384.91944343,34338.9997465,SELL
345,9.99,10.71,9.75,9.96,8193.33129544,84387.9475736,SELL
346,9.96,10.19,9.78,10.02,2710.255412,27095.0012795,SELL
347,10.03,10.51,9.83,10.37,4170.89273973,42191.8191479,SELL
348,10.45,10.58,10.14,10.57,581.27122837,6046.29672557,BUY
